product_id,price,option,date_created,is_immediate_delivery_item
122102,215000,265,2025-01-02T01:44:19Z,false
122102,179000,255,2025-01-02T00:59:08Z,false
122102,210000,265,2025-01-01T22:33:43Z,false
122102,194000,260,2025-01-01T22:33:17Z,false
122102,189000,260,2025-01-01T22:32:55Z,false
122102,171000,250,2025-01-01T22:28:29Z,false
122102,249000,275,2025-01-01T15:47:09Z,false
122102,209000,265,2025-01-01T05:04:49Z,false
122102,190000,260,2025-01-01T02:34:03Z,false
122102,190000,255,2025-01-01T02:33:42Z,false
122102,218000,260,2024-12-30T08:38:29Z,false
122102,163000,240(US 6),2024-12-30T08:30:01Z,false
122102,214000,270,2024-12-30T08:26:30Z,false
122102,240000,275,2024-12-29T13:06:56Z,false
122102,162000,240(US 6),2024-12-29T09:55:21Z,false
122102,219000,265,2024-12-28T16:27:35Z,true
122102,216000,265,2024-12-27T12:24:54Z,false
122102,215000,265,2024-12-27T12:24:28Z,false
122102,215000,265,2024-12-27T12:24:02Z,false
122102,220000,270,2024-12-27T08:08:27Z,false
122102,217000,265,2024-12-27T07:32:28Z,true
122102,240000,275,2024-12-25T10:13:18Z,false
122102,204000,250,2024-12-25T10:06:46Z,false
122102,200000,250,2024-12-25T09:58:38Z,false
122102,222000,270,2024-12-24T18:11:19Z,false
122102,240000,275,2024-12-24T07:47:21Z,false
122102,199000,250,2024-12-24T07:38:52Z,false
122102,215000,265,2024-12-23T08:50:18Z,false
122102,214000,270,2024-12-23T01:33:33Z,false
122102,215000,265,2024-12-22T02:04:49Z,false
122102,239000,275,2024-12-22T01:42:18Z,false
122102,230000,275,2024-12-21T13:24:32Z,false
122102,212000,265,2024-12-21T08:17:27Z,false
122102,215000,255,2024-12-20T09:22:46Z,false
122102,221000,270,2024-12-20T03:59:30Z,false
122102,214000,265,2024-12-19T07:01:37Z,false
122102,259000,280,2024-12-19T03:13:51Z,false
122102,238000,275,2024-12-19T03:11:53Z,false
122102,220000,270,2024-12-19T03:10:12Z,false
122102,210000,265,2024-12-19T03:06:56Z,false
122102,210000,255,2024-12-19T03:05:24Z,false
122102,180000,250,2024-12-19T03:04:02Z,false
122102,209000,265,2024-12-19T02:28:55Z,false
122102,210000,270,2024-12-18T03:32:51Z,false
122102,195000,245,2024-12-17T23:05:16Z,false
122102,194000,260,2024-12-17T11:15:55Z,false
122102,193000,260,2024-12-17T02:50:02Z,false
122102,235000,275,2024-12-16T00:02:31Z,false
122102,234000,275,2024-12-15T07:04:52Z,false
122102,209000,255,2024-12-15T06:10:39Z,false
122102,155000,240(US 6),2024-12-15T04:21:53Z,false
122102,214000,265,2024-12-14T12:52:12Z,false
122102,220000,270,2024-12-14T12:16:34Z,false
122102,220000,275,2024-12-14T05:03:17Z,false
122102,213000,265,2024-12-12T03:20:17Z,false
122102,208000,260,2024-12-12T03:18:41Z,false
122102,179000,250,2024-12-12T03:16:12Z,false
122102,249000,275,2024-12-11T23:27:26Z,true
122102,220000,270,2024-12-11T11:12:21Z,false
122102,154000,240(US 6),2024-12-10T16:55:32Z,false
122102,235000,275,2024-12-10T08:48:41Z,false
122102,178000,260,2024-12-10T03:40:23Z,false
122102,214000,265,2024-12-09T16:06:13Z,false
122102,210000,270,2024-12-09T10:57:37Z,false
122102,213000,265,2024-12-08T15:53:20Z,false
122102,205000,260,2024-12-08T15:51:55Z,false
122102,200000,255,2024-12-08T15:50:06Z,false
122102,280000,285,2024-12-08T12:18:15Z,false
122102,207000,280,2024-12-08T05:00:46Z,false
122102,219000,270,2024-12-07T13:07:24Z,false
122102,235000,260,2024-12-06T09:51:42Z,true
