date,상품,카테고리,발매가,브랜드,리셀가
2025-01-09T12:17:30Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,195000
2025-01-09T11:36:20Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,270000
2025-01-09T11:17:23Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-09T10:05:13Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-09T09:53:17Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-09T09:36:39Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,202000
2025-01-09T09:33:37Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,199000
2025-01-09T08:11:57Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,196000
2025-01-09T06:31:36Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,193000
2025-01-09T03:57:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,206000
2025-01-09T03:54:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,188000
2025-01-09T03:43:28Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-09T03:08:29Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,203000
2025-01-09T02:34:32Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,187000
2025-01-08T17:05:22Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,205000
2025-01-08T16:58:31Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,209000
2025-01-08T14:41:54Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,207000
2025-01-08T14:19:41Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,201000
2025-01-08T14:11:38Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,191000
2025-01-08T13:18:05Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-08T12:48:10Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,190000
2025-01-08T12:21:44Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,187000
2025-01-08T12:17:51Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,217000
2025-01-08T11:28:03Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,200000
2025-01-08T11:12:17Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,197000
2025-01-08T11:01:36Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,213000
2025-01-08T10:01:57Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,280000
2025-01-08T09:44:41Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,210000
2025-01-08T06:48:08Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,208000
2025-01-08T06:18:58Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,188000
2025-01-08T06:10:45Z,Nike x Supreme Air Force 1 Low White,Shoes,172600,Nike,252000
