date,상품,카테고리,발매가,브랜드,리셀가
2025-01-13T10:23:15Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T10:04:47Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T10:03:14Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:51:02Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,107000
2025-01-13T09:49:32Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:48:21Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:46:24Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:44:54Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T09:43:40Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:41:05Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:37:08Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:34:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:33:25Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:33:12Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T09:24:26Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:22:31Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:18:44Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,108000
2025-01-13T09:16:08Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:13:38Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T09:13:01Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
2025-01-13T09:12:44Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T09:12:16Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T09:11:47Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T09:06:56Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T09:05:39Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T09:05:31Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,107000
2025-01-13T09:03:17Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,114000
2025-01-13T09:01:41Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,113000
2025-01-13T08:39:43Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,110000
2025-01-13T08:35:00Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,109000
2025-01-13T08:34:02Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,129000
2025-01-13T08:30:54Z,Nike Air Force 1 '07 Low White,Shoes,139000,Nike,111000
